fmun_cod;fmun;ano;mes;regiao;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;feminicidio;letalidade_violenta;tentat_hom;tentativa_feminicidio;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_transeunte;roubo_celular;roubo_em_coletivo;roubo_rua;roubo_veiculo;roubo_carga;roubo_comercio;roubo_residencia;roubo_banco;roubo_cx_eletronico;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;ameaca
3305208;São Pedro da Aldeia;2026;1;Interior;6;0;0;6;0;0;6;1;0;31;2;1;16;2;3;0;5;11;0;0;0;0;0;0;0;0;1;4;0;0;5;0;29;0;1;0;36;18;0;15;28
3305307;São Sebastião do Alto;2026;1;Interior;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4
3305406;Sapucaia;2026;1;Interior;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;6;18;14;4;14
3305505;Saquarema;2026;1;Interior;2;0;0;2;1;0;3;4;2;59;6;1;23;4;2;0;6;2;1;1;0;0;0;0;0;0;4;6;6;0;11;2;55;0;7;0;92;18;5;9;74
3305554;Seropédica;2026;1;Baixada Fluminense;0;0;0;0;0;0;0;0;0;37;4;3;5;3;1;0;4;3;0;1;1;0;0;0;0;0;3;2;0;0;4;1;27;0;1;0;32;2;2;0;42
3305604;Silva Jardim;2026;1;Interior;0;0;0;0;0;0;0;0;0;7;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;7;0;0;0;10;5;2;1;9
3305703;Sumidouro;2026;1;Interior;0;0;0;0;0;0;0;0;0;12;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;1;1;0;9
3305752;Tanguá;2026;1;Interior;1;0;0;1;0;0;1;2;0;8;1;0;5;2;0;0;2;1;0;1;1;0;0;0;0;0;2;1;0;0;0;0;6;0;1;0;4;9;0;8;7
3305802;Teresópolis;2026;1;Interior;3;0;0;3;0;0;3;7;0;79;9;1;19;1;0;0;1;0;0;0;0;0;0;0;0;0;1;4;1;0;6;1;66;0;1;0;148;84;25;60;98
3305901;Trajano de Moraes;2026;1;Interior;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;1;1;0;4
3306008;Três Rios;2026;1;Interior;2;0;0;2;0;1;3;4;0;39;4;1;1;2;0;0;2;0;1;0;1;0;0;0;0;0;1;2;3;0;10;1;22;0;0;0;51;60;40;17;63
3306107;Valença;2026;1;Interior;3;0;0;3;0;0;3;2;0;32;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;13;0;1;0;28;32;8;24;42
3306156;Varre-Sai;2026;1;Interior;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;2
3306206;Vassouras;2026;1;Interior;0;0;0;0;0;0;0;0;0;14;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;25;12;9;1;21
3306305;Volta Redonda;2026;1;Interior;6;0;0;6;0;0;6;2;2;97;12;4;18;3;1;0;4;3;0;0;1;0;0;0;1;0;1;5;2;0;12;2;132;0;9;0;221;63;26;36;149
3300100;Angra dos Reis;2026;2;Interior;0;1;0;1;1;0;2;4;0;91;8;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;7;0;32;0;1;0;141;35;9;22;88
3300159;Aperibé;2026;2;Interior;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;1;1;0;0;0;4;6;5;3;5
3300209;Araruama;2026;2;Interior;2;0;0;2;0;0;2;4;1;87;4;3;11;2;2;0;4;7;0;0;0;0;0;0;0;0;3;10;5;0;54;1;74;0;4;0;107;25;2;17;81
3300225;Areal;2026;2;Interior;0;0;0;0;0;0;0;0;0;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;2;0;10;2;1;1;5
3300233;Armação dos Búzios;2026;2;Interior;0;0;0;0;0;0;0;0;1;17;2;0;3;3;1;0;4;0;0;0;1;0;0;0;0;0;2;3;4;0;7;0;35;0;1;0;31;27;6;19;18
3300258;Arraial do Cabo;2026;2;Interior;0;0;0;0;0;0;0;0;0;10;5;0;7;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;4;0;8;0;0;0;35;9;0;8;12
3300308;Barra do Piraí;2026;2;Interior;0;0;0;0;0;0;0;0;0;34;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;11;0;0;0;23;36;14;18;33
3300407;Barra Mansa;2026;2;Interior;4;0;0;4;0;0;4;7;0;48;7;1;11;2;1;0;3;3;0;1;1;0;0;0;0;0;0;2;2;0;11;1;40;0;2;0;106;36;8;20;77
3300456;Belford Roxo;2026;2;Baixada Fluminense;6;0;0;6;2;0;8;3;0;131;17;6;37;41;25;0;66;49;2;3;0;0;0;0;0;1;7;31;8;2;6;0;50;0;4;0;115;31;4;27;121
3300506;Bom Jardim;2026;2;Interior;1;0;0;1;0;0;1;0;0;12;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;5;9;2;5;16
3300605;Bom Jesus do Itabapoana;2026;2;Interior;0;0;0;0;0;0;0;0;0;9;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;15;0;0;0;18;17;10;2;11
3300704;Cabo Frio;2026;2;Interior;3;0;0;3;1;0;4;5;0;104;12;1;27;10;6;0;16;7;0;3;1;0;0;0;0;0;3;15;11;1;48;6;94;0;4;0;197;82;16;64;118
3300803;Cachoeiras de Macacu;2026;2;Interior;2;0;0;2;0;0;2;5;0;21;4;1;8;0;0;0;0;0;1;0;1;0;0;0;0;0;0;3;0;0;1;0;5;0;1;0;33;13;4;5;19
3300902;Cambuci;2026;2;Interior;0;0;0;0;0;0;0;0;0;6;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;2;0;12
3300936;Carapebus;2026;2;Interior;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;6;0;4;8
3300951;Comendador Levy Gasparian;2026;2;Interior;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;3;3;0;3
3301009;Campos dos Goytacazes;2026;2;Interior;10;1;0;11;0;0;11;9;0;105;6;6;30;23;13;0;36;4;2;3;4;0;0;0;0;1;6;8;11;8;24;15;133;0;6;0;286;136;71;34;182
3301108;Cantagalo;2026;2;Interior;0;0;0;0;0;0;0;0;0;4;4;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;1;0;7;8;6;1;10
3301157;Cardoso Moreira;2026;2;Interior;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;4;10;3;4;6
3301207;Carmo;2026;2;Interior;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;8;4;4;7
