fmun_cod,ano,populacao
3305000,2022,36573
3305109,2022,440962
3305133,2022,7070
3305158,2022,22080
3305208,2022,104029
3305307,2022,7750
3305406,2022,17729
3305505,2022,89559
3305554,2022,80596
3305604,2022,21352
3305703,2022,15206
3305752,2022,31086
3305802,2022,165123
3305901,2022,10302
3306008,2022,78346
3306107,2022,68088
3306156,2022,10207
3306206,2022,33976
3306305,2022,261563
3300100,2023,167434
3300159,2023,11034
3300209,2023,129671
3300225,2023,11828
3300233,2023,40006
3300258,2023,30986
3300308,2023,92883
3300407,2023,169894
3300456,2023,483087
3300506,2023,28102
3300605,2023,35173
3300704,2023,222161
3300803,2023,56943
3300902,2023,14616
3300936,2023,13847
3300951,2023,8741
3301009,2023,483540
3301108,2023,19390
3301157,2023,12958
3301207,2023,17198
3301306,2023,46110
3301405,2023,21104
3301504,2023,20783
3301603,2023,10980
3301702,2023,808161
3301801,2023,12242
3301850,2023,51696
3301876,2023,27920
3301900,2023,224267
3302007,2023,116841
3302056,2023,14073
3302106,2023,22919
3302205,2023,101041
3302254,2023,30908
3302270,2023,96289
3302304,2023,7336
3302403,2023,246391
3302452,2023,5415
3302502,2023,228127
3302601,2023,41220
3302700,2023,197277
3302809,2023,17502
3302858,2023,167127
3302908,2023,26582
3303005,2023,26881
3303104,2023,15074
3303203,2023,146774
3303302,2023,481749
3303401,2023,189939
3303500,2023,785867
3303609,2023,41375
3303708,2023,42063
3303807,2023,45243
3303856,2023,29619
3303906,2023,278881
3303955,2023,24298
3304003,2023,27474
3304102,2023,17288
3304110,2023,20373
3304128,2023,13682
3304144,2023,140523
3304151,2023,22393
3304201,2023,129612
3304300,2023,56276
3304409,2023,17401
3304508,2023,8954
3304524,2023,156491
3304557,2023,6211223
3304607,2023,10232
3304706,2023,41325
3304755,2023,45059
3304805,2023,38961
3304904,2023,896744
3305000,2023,36573
3305109,2023,440962
3305133,2023,7070
3305158,2023,22080
3305208,2023,104029
3305307,2023,7750
3305406,2023,17729
3305505,2023,89559
3305554,2023,80596
3305604,2023,21352
3305703,2023,15206
3305752,2023,31086
3305802,2023,165123
3305901,2023,10302
3306008,2023,78346
3306107,2023,68088
3306156,2023,10207
3306206,2023,33976
3306305,2023,261563
3300100,2024,179120
3300159,2024,11420
3300209,2024,137773
3300225,2024,12236
3300233,2024,42442
3300258,2024,32794
3300308,2024,98501
3300407,2024,181688
3300456,2024,518263
3300506,2024,29736
3300605,2024,37172
3300704,2024,238166
3300803,2024,59837
3300902,2024,15070
3300936,2024,14325
3300951,2024,9044
3301009,2024,519011
3301108,2024,19996
3301157,2024,13403
3301207,2024,17740
3301306,2024,48563
3301405,2024,21769
3301504,2024,21444
3301603,2024,11354
3301702,2024,866347
3301801,2024,12648
3301850,2024,54300
3301876,2024,29577
3301900,2024,240040
3302007,2024,123980
3302056,2024,14517
3302106,2024,23643
3302205,2024,107246
3302254,2024,32694
3302270,2024,102149
3302304,2024,7584
3302403,2024,264138
3302452,2024,5601
3302502,2024,244092
3302601,2024,43624
3302700,2024,211986
3302809,2024,18049
3302858,2024,178803
3302908,2024,28123
3303005,2024,28411
3303104,2024,15550
3303203,2024,155544
3303302,2024,516720
3303401,2024,203328
3303500,2024,843046
3303609,2024,43656
3303708,2024,44467
3303807,2024,47614
3303856,2024,31345
3303906,2024,294983
3303955,2024,25085
3304003,2024,29054
3304102,2024,17832
3304110,2024,21064
3304128,2024,14158
3304144,2024,149093
3304151,2024,23126
3304201,2024,137612
3304300,2024,59113
3304409,2024,17950
